"Protein_IDs"	"Majority_protein_IDs"	"Peptide_counts_all"	"Peptide_counts_razor_unique"	"Peptide_counts_unique"	"Fasta_headers"	"Number_of_proteins"	"Peptides"	"Razor_unique_peptides"	"Unique_peptides"	"Peptides_D_R1"	"Peptides_D_R2"	"Peptides_D_R3"	"Peptides_E_R1"	"Peptides_E_R2"	"Peptides_E_R3"	"Razor_unique_peptides_D_R1"	"Razor_unique_peptides_D_R2"	"Razor_unique_peptides_D_R3"	"Razor_unique_peptides_E_R1"	"Razor_unique_peptides_E_R2"	"Razor_unique_peptides_E_R3"	"Unique_peptides_D_R1"	"Unique_peptides_D_R2"	"Unique_peptides_D_R3"	"Unique_peptides_E_R1"	"Unique_peptides_E_R2"	"Unique_peptides_E_R3"	"Sequence_coverage"	"Unique_razor_sequence_coverage"	"Unique_sequence_coverage"	"Mol_weight_kDa"	"Sequence_length"	"Sequence_lengths"	"Q_value"	"Identification_type_D_R1"	"Identification_type_D_R2"	"Identification_type_D_R3"	"Identification_type_E_R1"	"Identification_type_E_R2"	"Identification_type_E_R3"	"Sequence_coverage_D_R1"	"Sequence_coverage_D_R2"	"Sequence_coverage_D_R3"	"Sequence_coverage_E_R1...."	"Sequence_coverage_E_R2"	"Sequence_coverage_E_R3"	"Intensity"	"Intensity_D_R1"	"Intensity_D_R2"	"Intensity_D_R3"	"Intensity_E_R1"	"Intensity_E_R2"	"Intensity_E_R3"	"iBAQ"	"iBAQ_D_R1"	"iBAQ_D_R2"	"iBAQ_D_R3"	"iBAQ_E_R1"	"iBAQ_E_R2"	"iBAQ_E_R3"	"LFQ_intensity_D_R1"	"LFQ_intensity_D_R2"	"LFQ.intensity_D_R3"	"LFQ_intensity_E_R1"	"LFQ_intensity_E_R2"	"LFQ_intensity_E_R3"	"MS_MS_Count_D_R1"	"MS_MS_Count_D_R2"	"MS_MS_Count_D_R3"	"MS_MS_Count_E_R1"	"MS_MS_Count_E_R2"	"MS_MS_Count_E_R3"	"MS_MS_Count"	"Only_identified_by_site"	"Reverse"	"Potential_contaminant"	"id"	"Peptide_IDs"	"Peptide_is_razor"	"Mod_peptide_IDs"	"Evidence_IDs"	"MS_MS_IDs"	"Best_MS_MS"	"Oxidation_M_site_IDs"	"Oxidation_M_site_positions"
"P38079"	"sp|P38079|YRO2_YEAST"	"2"	"1"	"1"	">sp|P38079|YRO2_YEAST Protein YRO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRO2 PE=1 SV=1"	1	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	9.6	5.5	5.5	38.719	344	"344"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	9.6	9.6	9.6	9.6	9.6	9.6	"328880000"	51833000	54585000	50362000	54817000	58797000	58485000	29898000	4712100	4962200	4578300	4983400	5345200	5316800	0	0	0	0	0	57658000	2	1	1	2	2	2	10	""	""	""	999	"5665;6700"	"True;False"	"5689;6730"	"37708;37709;37710;37711;37712;37713;44619;44620;44621;44622;44623;44624;44625;44626;44627;44628;44629"	"53130;53131;53132;53133;53134;53135;53136;53137;53138;53139;62560;62561;62562;62563;62564;62565;62566;62567;62568;62569;62570;62571;62572"	"53138;62566"	""	""
"P38080"	"sp|P38080|AKL1_YEAST"	"5"	"5"	"5"	">sp|P38080|AKL1_YEAST Serine/threonine-protein kinase AKL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AKL1 PE=1 SV=1"	1	5	5	5	3	3	5	3	3	4	3	3	5	3	3	4	3	3	5	3	3	4	5.6	5.6	5.6	123.99	1108	"1108"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	2.8	3.6	5.6	3.6	3.2	4.4	"123520000"	14070000	30366000	18410000	7751900	9164000	43758000	2093600	238480	514680	312040	131390	155320	741660	16096000	0	16590000	0	11576000	0	2	1	2	2	1	2	10	""	""	""	1000	"3431;5324;6749;6831;9548"	"True;True;True;True;True"	"3446;5346;6779;6861;9597"	"23127;23128;23129;23130;35436;35437;35438;44931;44932;44933;44934;44935;44936;45507;45508;45509;45510;45511;63439;63440;63441"	"32780;32781;32782;49923;49924;62941;62942;62943;62944;62945;62946;63780;63781;63782;88122"	"32782;49923;62943;63782;88122"	""	""
"P38081"	"sp|P38081|YBQ6_YEAST"	"4"	"4"	"4"	">sp|P38081|YBQ6_YEAST Uncharacterized glycosyl hydrolase YBR056W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR056W PE=1 SV=1"	1	4	4	4	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	12.2	12.2	12.2	57.821	501	"501"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	9.8	9.8	12.2	9.8	10.2	12.2	"148530000"	19669000	17209000	31350000	21404000	24927000	33968000	5941100	786780	688360	1254000	856150	997070	1358700	27037000	26707000	25577000	26324000	22356000	26252000	2	2	2	3	4	2	15	""	""	""	1001	"1637;5182;6818;11160"	"True;True;True;True"	"1648;5204;6848;11219"	"11493;11494;11495;11496;11497;11498;34496;34497;34498;34499;34500;34501;45416;45417;45418;74432;74433;74434;74435;74436"	"16660;16661;16662;16663;16664;16665;16666;16667;16668;48602;48603;48604;48605;48606;63634;103786;103787"	"16661;48604;63634;103786"	""	""
"P38085"	"sp|P38085|TAT1_YEAST"	"2"	"2"	"2"	">sp|P38085|TAT1_YEAST Valine/tyrosine/tryptophan amino-acid permease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAT1 PE=1 SV=1"	1	2	2	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	7.9	7.9	7.9	68.757	619	"619"	0	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	2.1	2.1	2.1	7.9	2.1	7.9	"86791000"	9970300	7155900	7199200	26781000	11046000	24638000	4132900	474780	340760	342820	1275300	526000	1173300	0	0	0	0	0	24290000	0	1	1	1	0	1	4	""	""	""	1002	"6168;8571"	"True;True"	"6195;8614"	"41025;41026;41027;41028;41029;41030;56983;56984"	"57679;57680;79466;79467"	"57680;79466"	""	""
"P38088"	"sp|P38088|SYG_YEAST"	"27"	"27"	"27"	">sp|P38088|SYG_YEAST Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRS1 PE=1 SV=3"	1	27	27	27	27	27	25	26	27	27	27	27	25	26	27	27	27	27	25	26	27	27	48.8	48.8	48.8	78.183	690	"690"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	48.8	48.8	46.7	48.8	48.8	48.8	"11455000000"	1819200000	1770900000	1.801e+09	1965100000	2048200000	2050200000	272730000	43315000	42165000	42882000	46789000	48768000	48815000	1899500000	1980400000	1972400000	2014700000	2023700000	2036200000	45	49	50	50	53	54	301	""	""	""	1003	"75;110;1690;1699;1700;1709;1977;3034;3658;4280;4573;4987;5001;5047;5094;5966;6509;7884;8214;8310;10963;11877;12216;12325;12636;13279;13516"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"75;110;1702;1711;1712;1721;1989;3049;3675;4300;4594;5009;5023;5069;5116;5992;6539;7915;8251;8349;11019;11938;12279;12389;12702;13349;13587"	"574;575;576;577;578;796;797;798;799;800;801;802;803;804;805;806;807;11867;11868;11869;11870;11910;11911;11912;11913;11914;11915;11916;11917;11918;11919;11920;11921;11922;11989;11990;11991;11992;11993;11994;13668;13669;13670;13671;13672;13673;20389;20390;20391;20392;20393;20394;20395;20396;20397;20398;20399;20400;24641;24642;24643;24644;24645;24646;28566;28567;28568;28569;28570;28571;30641;30642;30643;30644;30645;30646;30647;30648;30649;30650;30651;30652;33332;33333;33334;33335;33336;33337;33402;33403;33404;33405;33406;33407;33686;33687;33688;33689;33690;33691;33964;33965;33966;33967;33968;33969;39723;39724;39725;39726;39727;39728;43351;43352;43353;43354;43355;43356;43357;43358;43359;43360;43361;52619;52620;52621;52622;52623;52624;54673;54674;54675;54676;54677;54678;55321;55322;55323;55324;55325;55326;55327;55328;55329;55330;55331;55332;72834;72835;72836;72837;72838;72839;79147;79148;79149;79150;79151;79152;79153;81624;81625;81626;81627;81628;81629;81630;82378;82379;82380;82381;82382;82383;82384;82385;84600;84601;84602;84603;84604;84605;89340;89341;89342;89343;89344;89345;90891;90892;90893;90894;90895;90896;90897;90898;90899;90900;90901;90902;90903"	"843;844;845;846;847;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1156;17169;17197;17198;17199;17200;17201;17202;17203;17204;17287;17288;17289;17290;17291;17292;19454;19455;19456;19457;19458;19459;19460;19461;19462;19463;19464;19465;28893;28894;28895;28896;28897;28898;28899;28900;28901;28902;28903;28904;28905;28906;28907;28908;28909;28910;28911;28912;28913;28914;28915;28916;28917;34975;34976;34977;34978;34979;34980;40314;40315;40316;40317;40318;40319;43326;43327;43328;43329;43330;43331;43332;43333;43334;43335;43336;43337;43338;43339;43340;43341;43342;43343;43344;43345;43346;43347;43348;43349;43350;43351;47183;47184;47185;47186;47187;47188;47189;47190;47191;47192;47193;47194;47195;47196;47271;47272;47273;47274;47275;47276;47277;47278;47279;47280;47281;47282;47283;47284;47285;47286;47594;47595;47596;47597;47598;47599;47959;47960;47961;47962;47963;47964;47965;47966;47967;47968;47969;47970;47971;55866;55867;55868;55869;55870;55871;60873;60874;60875;60876;60877;60878;60879;60880;73839;73840;73841;73842;73843;73844;73845;73846;73847;76355;76356;76357;76358;76359;76360;77253;77254;77255;77256;77257;77258;77259;77260;77261;77262;77263;77264;77265;77266;77267;77268;77269;101530;101531;101532;101533;101534;101535;101536;101537;101538;101539;101540;101541;101542;101543;101544;101545;101546;101547;101548;101549;101550;101551;101552;101553;101554;101555;101556;101557;101558;101559;101560;101561;101562;101563;101564;101565;101566;101567;101568;110382;110383;110384;110385;110386;110387;110388;110389;110390;110391;110392;110393;110394;114242;114243;114244;114245;114246;114247;114248;115366;115367;115368;115369;115370;115371;115372;115373;118763;118764;118765;118766;118767;118768;125728;125729;125730;125731;125732;125733;125734;125735;125736;125737;125738;127727;127728;127729;127730;127731;127732;127733;127734;127735;127736;127737;127738;127739;127740;127741;127742;127743;127744;127745;127746;127747;127748;127749;127750;127751;127752;127753"	"845;1147;17169;17201;17203;17291;19459;28913;34978;40316;43343;47193;47274;47598;47966;55870;60873;73839;76355;77259;101558;110393;114247;115369;118766;125732;127737"	""	""
"P38109"	"sp|P38109|YBY9_YEAST"	"2"	"2"	"2"	">sp|P38109|YBY9_YEAST Putative serine carboxypeptidase YBR139W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR139W PE=1 SV=1"	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4.5	4.5	4.5	57.638	508	"508"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	4.5	4.5	4.5	4.5	4.5	4.5	"57844000"	12021000	8182700	5609200	8925600	11742000	11363000	3213500	667850	454590	311620	495870	652340	631280	13166000	9316900	0	8344400	11807000	11310000	3	3	3	3	3	4	19	""	""	""	1004	"4108;9045"	"True;True"	"4126;9091"	"27407;27408;27409;27410;27411;27412;60069;60070;60071;60072;60073;60074;60075;60076;60077;60078"	"38819;38820;38821;38822;38823;38824;83682;83683;83684;83685;83686;83687;83688;83689;83690;83691;83692;83693;83694;83695"	"38820;83691"	""	""
"P38112"	"sp|P38112|MAK5_YEAST"	"3"	"3"	"3"	">sp|P38112|MAK5_YEAST ATP-dependent RNA helicase MAK5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAK5 PE=1 SV=1"	1	3	3	3	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	5.6	5.6	5.6	87.047	773	"773"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3.9	4.1	2.5	4.1	4.1	4.1	"63779000"	7894900	11040000	7147100	14546000	9503200	13648000	1723800	213380	298380	193160	393130	256840	368870	0	11765000	0	15512000	10425000	12149000	1	1	1	2	1	1	7	""	""	""	1005	"880;2799;13373"	"True;True;True"	"888;2814;13444"	"6358;6359;6360;6361;18904;90003;90004;90005;90006;90007;90008"	"9476;9477;26799;126676;126677;126678;126679;126680"	"9477;26799;126680"	""	""
"P38115"	"sp|P38115|ARA1_YEAST"	"8"	"8"	"8"	">sp|P38115|ARA1_YEAST D-arabinose dehydrogenase [NAD(P)+] heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARA1 PE=1 SV=1"	1	8	8	8	8	8	8	8	7	7	8	8	8	8	7	7	8	8	8	8	7	7	32.3	32.3	32.3	38.883	344	"344"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	32.3	32.3	32.3	32.3	27.6	27.6	"3704000000"	611320000	506770000	635680000	730260000	651470000	568480000	176380000	29110000	24132000	30271000	34774000	31023000	27070000	542780000	548590000	538990000	562840000	518910000	529820000	13	15	15	11	12	11	77	""	""	""	1006	"1334;3395;3396;4640;6777;7269;11685;13208"	"True;True;True;True;True;True;True;True"	"1344;3410;3411;4661;6807;7300;11746;13278"	"9530;9531;9532;9533;22909;22910;22911;22912;22913;22914;22915;22916;22917;22918;22919;22920;22921;22922;22923;22924;22925;22926;22927;22928;22929;22930;22931;22932;22933;22934;22935;22936;22937;22938;22939;31093;31094;31095;31096;31097;31098;45104;45105;45106;45107;45108;45109;45110;45111;45112;45113;45114;45115;48375;48376;48377;48378;48379;48380;77950;77951;77952;77953;77954;77955;88892;88893;88894;88895;88896;88897"	"14034;14035;14036;14037;14038;32543;32544;32545;32546;32547;32548;32549;32550;32551;32552;32553;32554;32555;32556;32557;32558;32559;32560;32561;32562;32563;32564;43879;43880;43881;43882;43883;43884;43885;43886;43887;43888;43889;43890;43891;43892;43893;63160;63161;63162;63163;63164;67735;67736;67737;67738;67739;67740;67741;67742;67743;108870;108871;108872;108873;108874;108875;125060;125061;125062;125063;125064;125065;125066;125067;125068;125069;125070;125071;125072;125073;125074;125075"	"14038;32548;32559;43891;63161;67741;108872;125075"	""	""
"P38116"	"sp|P38116|ARL1_YEAST"	"3"	"3"	"3"	">sp|P38116|ARL1_YEAST ADP-ribosylation factor-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARL1 PE=1 SV=4"	1	3	3	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	3	2	2	3	21.3	21.3	21.3	20.434	183	"183"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	21.3	21.3	21.3	13.7	13.7	21.3	"231450000"	27156000	43275000	53885000	26814000	31317000	49004000	21041000	2468800	3934100	4898700	2437600	2847000	4454900	25548000	36980000	52843000	37909000	48112000	41355000	1	1	2	2	2	2	10	""	""	""	1007	"2539;6761;9193"	"True;True;True"	"2552;6791;9241"	"17241;17242;17243;17244;17245;17246;44997;44998;44999;45000;45001;45002;61100;61101;61102;61103"	"24533;24534;24535;63010;63011;63012;63013;63014;63015;63016;85172;85173;85174"	"24533;63013;85172"	""	""
"P38121"	"sp|P38121|DPOA2_YEAST"	"2"	"2"	"2"	">sp|P38121|DPOA2_YEAST DNA polymerase alpha subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL12 PE=1 SV=1"	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	3	3	3	78.773	705	"705"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3	3	3	3	1.1	1.1	"15342000"	4467400	NA	7063500	NA	NA	3811000	464910	135380	0	214050	0	0	115490	0	0	7675600	0	0	0	2	2	1	2	1	1	9	""	""	""	1008	"3484;11470"	"True;True"	"3499;11531"	"23471;23472;23473;23474;76572;76573;76574;76575;76576;76577"	"33253;33254;33255;33256;106878;106879;106880;106881;106882;106883"	"33254;106881"	""	""
"P38129"	"sp|P38129|TAF5_YEAST"	"5"	"5"	"5"	">sp|P38129|TAF5_YEAST Transcription initiation factor TFIID subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF5 PE=1 SV=1"	1	5	5	5	4	4	5	3	4	5	4	4	5	3	4	5	4	4	5	3	4	5	9.5	9.5	9.5	88.967	798	"798"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	7.8	7.8	9.5	6.5	7.8	9.5	"88580000"	13900000	14620000	14104000	13521000	16424000	16010000	2109000	330950	348090	335820	321930	391060	381190	16267000	15843000	14839000	13534000	15805000	16077000	4	5	4	2	5	4	24	""	""	""	1009	"8257;9383;11128;11996;13348"	"True;True;True;True;True"	"8295;9431;11186;12057;13418"	"54963;54964;54965;54966;54967;62328;62329;62330;62331;62332;62333;74152;74153;80089;80090;80091;80092;80093;80094;89856;89857;89858;89859;89860;89861;89862;89863"	"76758;76759;76760;76761;76762;86751;86752;86753;86754;86755;86756;86757;103333;111879;111880;111881;111882;111883;111884;126429;126430;126431;126432;126433;126434;126435;126436"	"76760;86755;103333;111880;126433"	""	""
"P38130"	"sp|P38130|KTR3_YEAST"	"5"	"5"	"5"	">sp|P38130|KTR3_YEAST Probable mannosyltransferase KTR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR3 PE=1 SV=1"	1	5	5	5	4	3	3	5	4	4	4	3	3	5	4	4	4	3	3	5	4	4	13.9	13.9	13.9	47.482	404	"404"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	9.4	7.2	7.2	13.9	9.4	9.4	"665850000"	116030000	101270000	101830000	106820000	121810000	118080000	30266000	5274300	4603300	4628900	4855300	5536900	5367300	121510000	112640000	114060000	119600000	112600000	113390000	4	4	4	5	4	3	24	""	""	""	1010	"2051;4510;5078;8854;13688"	"True;True;True;True;True"	"2063;4531;5100;8900;13759"	"14202;14203;14204;14205;30205;30206;30207;30208;30209;30210;33883;33884;33885;33886;33887;33888;33889;58778;58779;58780;58781;58782;58783;92026"	"20279;20280;20281;42625;42626;42627;42628;42629;42630;42631;42632;42633;42634;42635;42636;42637;42638;42639;42640;42641;42642;47865;47866;47867;47868;47869;47870;47871;81892;129231"	"20281;42629;47866;81892;129231"	""	""
"P38131"	"sp|P38131|KTR4_YEAST"	"3"	"3"	"3"	">sp|P38131|KTR4_YEAST Probable mannosyltransferase KTR4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR4 PE=1 SV=1"	1	3	3	3	1	3	0	2	1	1	1	3	0	2	1	1	1	3	0	2	1	1	9.9	9.9	9.9	54.555	464	"464"	0	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	4.3	9.9	0	6	4.3	1.7	"41886000"	5112000	9605600	NA	14608000	2036500	10523000	1611000	196620	369450	0	561860	78326	404750	0	11693000	0	13737000	0	0	1	2	0	1	1	1	6	""	""	""	1011	"3755;4446;8853"	"True;True;True"	"3772;4466;8899"	"25210;29643;29644;29645;58774;58775;58776;58777"	"35677;41755;41756;81889;81890;81891"	"35677;41756;81889"	""	""
"P38137"	"sp|P38137|FAT2_YEAST"	"10"	"10"	"10"	">sp|P38137|FAT2_YEAST Peroxisomal-coenzyme A synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCS60 PE=1 SV=1"	1	10	10	10	7	7	7	8	10	9	7	7	7	8	10	9	7	7	7	8	10	9	22.7	22.7	22.7	60.488	543	"543"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	15.3	15.3	15.3	17.3	22.7	19.9	"536240000"	92953000	76869000	60684000	93910000	108890000	102930000	19861000	3442700	2847000	2247600	3478100	4032900	3812300	93643000	91925000	79650000	95837000	92184000	102820000	10	9	10	11	12	10	62	""	""	""	1012	"2296;3805;3998;5550;5572;7222;8211;9920;11364;12010"	"True;True;True;True;True;True;True;True;True;True"	"2308;3822;4016;5573;5596;7253;8248;9972;11425;12072"	"15753;15754;15755;15756;15757;15758;25525;25526;26708;26709;26710;26711;26712;26713;36813;36814;36815;36816;36817;36818;36988;36989;36990;36991;36992;36993;48112;54662;54663;54664;66062;66063;66064;66065;66066;66067;75803;75804;75805;75806;75807;75808;75809;75810;75811;75812;75813;75814;80226;80227;80228;80229;80230;80231"	"22430;22431;22432;22433;22434;22435;36105;37846;37847;37848;37849;37850;37851;37852;51832;51833;51834;51835;51836;51837;51838;51839;51840;51841;51842;51843;51844;52096;52097;52098;52099;52100;67353;76338;76339;91657;91658;91659;91660;105688;105689;105690;105691;105692;105693;105694;105695;105696;105697;105698;105699;105700;105701;105702;105703;105704;112187;112188;112189;112190;112191;112192;112193;112194;112195;112196;112197;112198"	"22435;36105;37851;51834;52099;67353;76339;91658;105695;112195"	""	""
"P38138"	"sp|P38138|GLU2A_YEAST"	"5"	"5"	"5"	">sp|P38138|GLU2A_YEAST Glucosidase 2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ROT2 PE=1 SV=1"	1	5	5	5	3	3	5	5	4	5	3	3	5	5	4	5	3	3	5	5	4	5	6.8	6.8	6.8	110.26	954	"954"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	4	4.6	6.8	6.8	5.8	6.8	"144750000"	15795000	18432000	22024000	29016000	30770000	28709000	3289700	358980	418910	500550	659460	699310	652470	26794000	25037000	21580000	23308000	28368000	24444000	2	2	3	2	4	4	17	""	""	""	1013	"1581;8337;11078;11845;13436"	"True;True;True;True;True"	"1591;8377;11134;11906;13507"	"11178;11179;11180;11181;11182;55506;55507;55508;55509;55510;55511;73595;73596;73597;73598;73599;78930;78931;78932;90366;90367;90368;90369;90370;90371;90372"	"16269;16270;77466;77467;77468;77469;77470;77471;102650;102651;102652;102653;102654;102655;110140;127047;127048;127049;127050;127051;127052;127053"	"16270;77469;102655;110140;127052"	""	""
"P38143"	"sp|P38143|GPX2_YEAST"	"6"	"6"	"5"	">sp|P38143|GPX2_YEAST Glutathione peroxidase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPX2 PE=1 SV=1"	1	6	6	5	5	5	6	6	6	5	5	5	6	6	6	5	4	4	5	5	5	4	46.3	46.3	41.4	18.406	162	"162"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	42	42	46.3	46.3	46.3	42	"763240000"	102280000	110790000	134290000	132350000	157390000	126140000	76324000	10228000	11079000	13429000	13235000	15739000	12614000	122540000	140100000	128830000	128510000	139980000	133710000	8	7	8	7	11	8	49	""	""	""	1014	"1109;2439;3704;4061;5179;11927"	"True;True;True;True;True;True"	"1118;2452;3721;4079;5201;11988"	"8071;8072;8073;8074;8075;8076;8077;16661;16662;16663;24917;24918;24919;24920;24921;24922;27133;27134;27135;27136;27137;27138;34482;34483;34484;34485;34486;34487;79441;79442;79443;79444;79445;79446"	"12118;12119;12120;12121;12122;23805;23806;35300;35301;35302;35303;35304;35305;35306;35307;35308;35309;35310;35311;35312;38473;38474;38475;38476;38477;38478;38479;38480;38481;38482;38483;38484;38485;48584;48585;48586;48587;48588;48589;48590;48591;48592;48593;110799;110800;110801;110802;110803;110804;110805;110806;110807;110808;110809"	"12120;23805;35301;38479;48588;110807"	""	""
"P38144"	"sp|P38144|ISW1_YEAST"	"12"	"12"	"10"	">sp|P38144|ISW1_YEAST ISWI chromatin-remodeling complex ATPase ISW1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISW1 PE=1 SV=2"	1	12	12	10	9	9	10	10	10	9	9	9	10	10	10	9	7	7	8	8	8	7	15.9	15.9	13.8	131.1	1129	"1129"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	12.2	12.2	12.2	13.4	13.4	12.2	"397130000"	61126000	63288000	51803000	62528000	81479000	76907000	6109700	940400	973670	796970	961970	1253500	1183200	62288000	73842000	72711000	56102000	71524000	76115000	6	8	4	7	7	7	39	""	""	""	1015	"81;154;1600;5218;5894;6763;6811;7115;9336;10209;11602;13404"	"True;True;True;True;True;True;True;True;True;True;True;True"	"81;156;1610;5240;5919;6793;6841;7145;9384;10261;11663;13475"	"605;606;607;608;609;610;1137;1138;1139;1140;1141;1142;11292;11293;11294;11295;11296;11297;34735;34736;34737;34738;34739;34740;39208;39209;39210;39211;39212;39213;45009;45010;45011;45356;45357;45358;45359;45360;45361;47437;47438;61989;61990;61991;61992;67876;67877;67878;67879;67880;77371;77372;77373;77374;77375;77376;90187"	"869;870;871;872;873;874;875;876;1682;1683;1684;1685;16407;16408;16409;16410;16411;16412;49009;49010;49011;49012;49013;49014;49015;49016;49017;49018;55064;55065;55066;55067;55068;55069;55070;55071;55072;55073;55074;55075;63029;63513;63514;63515;63516;63517;63518;63519;66386;86328;86329;86330;86331;94463;94464;94465;107998;107999;108000;108001;108002;108003;126845"	"872;1683;16411;49017;55071;63029;63514;66386;86329;94465;107998;126845"	""	""
"P38145"	"sp|P38145|RISA_YEAST"	"2"	"2"	"2"	">sp|P38145|RISA_YEAST Riboflavin synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIB5 PE=1 SV=1"	1	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	11.8	11.8	11.8	26.195	238	"238"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	5	5	11.8	5	5	5	"43497000"	7797300	NA	5122500	10434000	10036000	10107000	3954300	708850	0	465680	948590	912360	918780	0	0	0	0	0	9963700	1	1	1	1	0	1	5	""	""	""	1016	"9359;10593"	"True;True"	"9407;10647"	"62154;62155;62156;62157;62158;62159;70477"	"86535;86536;86537;86538;98127"	"86537;98127"	""	""
"P38146"	"sp|P38146|YPT10_YEAST"	"2"	"2"	"2"	">sp|P38146|YPT10_YEAST GTP-binding protein YPT10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT10 PE=1 SV=2"	1	2	2	2	1	2	1	1	0	1	1	2	1	1	0	1	1	2	1	1	0	1	12.6	12.6	12.6	21.834	199	"199"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By matching"	6	12.6	6	6	0	6	"33340000"	7014000	7170400	7947600	8677200	NA	2531300	2564700	539540	551570	611360	667480	0	194720	0	0	0	0	0	2495600	1	1	1	0	0	0	3	""	""	""	1017	"6171;11500"	"True;True"	"6198;11561"	"41043;41044;41045;41046;41047;76744"	"57699;57700;57701;57702;107098"	"57699;107098"	""	""
